,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
0,高鹏,西北高海拔盐渍土环境下地铁工程混凝土结构耐久性研究,高性能混凝土/西北高海拔地区/盐渍土环境/强碱环境,"以青海省西宁市为代表的西北高海拔盐渍土环境,是高浓度的氯盐、硫酸盐等强腐蚀介质共存环境,是碱含量巨大的强碱环境。地铁工程混凝土结构耐久性在该地区面临的问题是多样化、复杂化的。本文基于西宁交通轨道工程为研究背景,以西北高海拔盐渍土环境下的地铁工程混凝土结构为研究对象,制备出6种高性能混凝土(High performance concrete,HPC),开展HPC的抗腐蚀性、氯离子扩散、碱-骨料反应(Alkali-aggregate reaction,AAR)及其抑制措施、以及地铁工程混凝土结构的服役寿命预测等相关研究工作内容。结果表明,6种HPC具有抵抗氯离子扩散、硫酸盐腐蚀及AAR复合破坏作用的能力,兼具长寿命特性。本文研究成果可作为西北高海拔盐渍土环境下地铁工程混凝土结构耐久性设计及安全性评估工作的重要参考依据。主要研究工作内容及成果如下:第一章,综述了地铁工程混凝土结构在西北高海拔地区盐渍土严酷环境下的研究意义与进展。同时,根据西北高海拔盐渍土环境对混凝土结构耐久性的不利影响因素,指出当前存在的问题,并在此基础上提出了本文研究内容。第二章,根据混凝土在西北高海拔典型盐渍土环境下的设计寿命要求,完成HPC的配比设计与制备,以及基于HPC配比的砂浆棒试件配比设计。介绍本文研究中相关的各种试验方法和测试计算方法。第三章,利用自然扩散法,确定HPC在腐蚀介质卤水中的抗腐蚀性能。利用快速砂浆棒法和岩相分析结果确定骨料的AAR表现。利用等离子光谱仪分析HPC不同深度位置的各侵蚀离子浓度。结果表明,西北高海拔盐渍土环境中,混凝土结构满足100年寿命设计要求的关键制约因素,为碱-硅酸反应危害(Alkali-silica reaction,ASR)、硫酸盐腐蚀破坏、以及氯离子扩散导致的钢筋锈蚀。硫酸根离子、碱金属离子等在混凝土内部含量较高,其扩散行为与氯离子扩散行为类似。第四章,基于西北高海拔盐渍土环境中高浓度氯离子含量,采用自然扩散法,研究HPC内部的氯离子扩散规律。结果表明,HPC中氯离子的吸附关系属于线性吸附关系。矿物掺合料(supplementary cementitious materials,SCM)的掺量、水灰比、阻锈外加剂均会影响HPC氯离子结合能力。此外,HPC的表面自由氯离子浓度C_s变化规律符合C_s(28)kt~(1-)2~m(10)C_0边界条件,该边界条件将作为氯离子扩散寿命预测的依据。第五章,根据西北高海拔盐渍土环境的强碱环境特点,采用快速砂浆棒法(accelerated mortar-bars test,AMBT)的延长龄期试验方法,研究SCM、Li_2CO_3以及一种新型低成本硝酸盐外加剂MN对ASR的抑制作用,并利用长龄期的试验结果评价AMBT的适用性。SCM抑制结果表明,低含量CaO的粉煤灰(fly ash,FA)与磨细矿渣(ground granulated blasted furnace slag,GGBFS)在高温碱液条件下能够持续抑制ASR;低掺量(低于5%)的硅灰(silica fume,SF),则可能会对ASR抑制作用产生负面影响,并对SF后续研究提出建议。另外,胶材体系中的Ca/Si(摩尔比率)能够有效衡量SCM对ASR的抑制能力,Ca/Si越低,砂浆棒膨胀率越低,且在长龄期试验结果中也得到了印证。Li_2CO_3抑制结果表明,外部环境的碱渗透,严重影响Li_2CO_3抑制作用。单掺使用[Li]/[Na]=0.80的Li_2CO_3,不能有效抑制ASR。Li_2CO_3+SCM的复掺方式则可以有效抑制ASR。新型外加剂MN抑制结果表明,单掺使用MN的抑制效果不佳,MN掺量1.0%时,MN+SCM的复掺方式体现出优异的抑制作用,全面超越SCM抑制效果。经研究确定,MN的最佳掺量阈值范围为0.75%至1.25%。AMBT的适用性评价发现,AMBT与延长龄期的试验结果存在差异,长龄期试验方法能够真实反映每种抑制方案的优劣。GB/T 50733-2011的判定标准(14d膨胀率不超过0.03%)过于严格,不宜作为拒绝抑制方案的参考标准。而TB10424-2010和ASTM C1567的判定标准是适宜的。AMBT可以评价强碱环境和一般碱环境中的ASR抑制效果,其适用范围应包括SCM和化学外加剂。此外,SCM砂浆棒的微观形貌分析表明,SCM能够在较长的龄期内有效抑制ASR,但不能在强碱环境中永久有效抑制ASR。引气剂的使用,能够有效缓解ASR膨胀破坏的速率,但不是抑制ASR的主要控制手段。第六章,利用扩散理论模型,结合可靠度理论,预测混凝土结构在氯离子扩散、AAR破坏和硫酸盐腐蚀3种破坏作用下的服役寿命。同时,提出损伤-反应速度理论模型,预测AAR服役寿命;使用2种经验模型(Atkinson和Hearne经验模型,以及Kurtis等经验模型)预测硫酸盐腐蚀服役寿命。结合多种理论模型的寿命预测结果,综合评价混凝土结构的服役寿命。结果表明,AAR对混凝土结构耐久性的破坏作用最大,并会加速诱发混凝土结构氯离子侵蚀破坏与硫酸盐腐蚀破坏的产生,进一步缩短混凝土结构寿命。确保100a服役寿命的关键因素,包括增加混凝土钢筋保护层厚度,严格控制混凝土初始碱含量,有效控制外部环境的碱渗透,选用低含量C_3A(低于3%)的胶材,混凝土采用低水灰比(建议w/c取0.37以下),以及混凝土构件表面附加防水涂层和桩基、隧道等结构部位的回填改良土壤等措施。第七章对全文研究工作进行了总结和归纳,并对未来研究提出相关建议。",《南京航空航天大学》,"
2018年",【学位授予单位】：南京航空航天大学【学位级别】：博士【学位授予年份】：2018【分类号】：U231,204,1
1,宿晓萍,吉林省西部地区盐渍土环境下混凝土耐久性研究,盐渍土/混凝土/耐久性/易溶盐,"混凝土耐久性问题是混凝土材料科学领域的一项重要研究课题。随着混凝土的广泛应用，使用环境的日益恶化，混凝土工程受环境侵蚀的危害性也日益增加，即环境条件的严酷程度决定了混凝土结构工程寿命的长短。在国家自然科学基金项目“东北季冻区路基水份迁移的微观机理研究”（No.406721780）和国家自然科学基金项目“不同气候带几种表生特殊土的形成环境及演化趋势”（No.40911120044）、博士点基金“干湿冻融循环对吉林西部分散土的影响及机理研究”（No.20120061110054）资助下，本文针对吉林西部盐渍土分布区内的混凝土工程为研究对象，结合吉林西部地区的气候条件与土壤环境等因素，开展了混凝土耐久性的研究工作，主要揭示盐蚀、干湿、冻融等单一或多重因素作用下混凝土性能的衰变规律，进行不同环境因素或土壤情况下混凝土破坏机理分析与评价，以及混凝土耐久性的诸多影响因素与其质量或动弹性模量的关联度分析，以减少季冻区盐碱土对混凝土工程耐久与安全的潜在威胁，并进一步完善混凝土耐久性研究的理论体系。

	吉林省大安市是松嫩平原土壤盐渍化最严重的地区之一，以苏打盐渍土为主，境内的土壤及地表水中的易溶盐分量相似。针对大安盐渍土区的自然环境特点，模拟实际工程的环境条件设计了四种试验工况，即盐浸、盐蚀-干湿、盐蚀-冻融、盐蚀-冻融-干湿试验；并根据大安春季土壤中主要易溶盐的种类与含量，配制了不同浓度的复合盐侵蚀溶液，根据复合盐中的各种易溶盐分别配置了单盐侵蚀溶液进行对比试验；制备五种不同配合比的基准混凝土、粉煤灰混凝土、引气混凝土试件，进行了以下四组试验：混凝土的复合盐或单盐溶液长期浸泡试验、复合盐或单盐-干湿循环试验、复合盐或单盐-冻融循环试验、复合盐或单盐-冻融-干湿循环试验，以质量与动弹性模量的变化作为混凝土耐久性能的评价指标；同时，通过物理、电镜扫描及超声波等手段进行混凝土在各种试验工况下的性能研究，包括混凝土的破坏规律、破坏机理分析、宏观现象、微观结构、质量损失与动弹性模量衰减规律、以及影响因素等。在以上试验数据的基础上，利用灰关联度法和粗糙集理论对浸泡时间、冻融循环次数、干湿循环次数、冻融-干湿次数、复合盐浓度、含气量、粉煤灰掺量7个影响因素分别与混凝土的质量损失率、相对动弹性模量的关系进行分析，确定各影响因素对混凝土耐久性影响程度的大小，计算权重，并进行不同环境条件下混凝土动弹性模量的衰减规律评价，从而对吉林省西部地区盐渍土环境下混凝土耐久性进行深入研究。",《吉林大学》,"
2013年",【学位授予单位】：吉林大学【学位级别】：博士【学位授予年份】：2013【分类号】：TU528,3863,69
2,韩鹏,X70钢在不同pH污染粉土中的电化学腐蚀研究,X70钢/腐蚀速率/污染粉土/电阻率,"本文采用电阻率,电化学阻抗谱(EIS),极化曲线(PC),扫描电镜(SEM)和能谱分析(EDS)等测试方法,通过室内模拟试验研究了X70钢在不同pH污染粉土(H_2SO_4或NaOH溶液改变土壤的pH)中电化学腐蚀行为的差异性以及其腐蚀机理。通过分析不同pH的污染粉土电阻率的测试结果可知,在酸性条件下污染粉土的电阻率随pH值的增大而增大,碱性条件下随p H的增大而减小;根据电阻率和污染土腐蚀性之间的相关性可以初步判定:强碱性(pH=11.98和13.07)污染粉土的腐蚀性最强,酸性(pH=1.50、3.78和5.03)和弱碱性(pH=9.09)污染粉土的腐蚀性随时间的延长而大幅降低,中性粉土(pH=7.07)的腐蚀性较微弱。由X70钢腐蚀后的宏微观形貌以及能谱分析结果可以发现,X70钢在不同pH污染粉土中均发生了不同程度的局部点蚀,腐蚀产物主要为Fe_2O_3与Fe_3O_4。而在强碱性(pH=11.98和13.07)污染粉土中,X70钢表面仅发生了轻微的腐蚀现象。通过对极化曲线(PC)测试结果的分析可知,X70钢在不同p H值污染粉土中的瞬时腐蚀速率随pH值的增加而减小,但随着腐蚀时间的推移,X70钢表面形成的钝化膜或者不同程度腐蚀产物的堆积会对其瞬时腐蚀速率产生不同程度的影响。X70钢在强酸性(pH=1.50)和强碱性(pH=11.98和13.07)污染粉土中会出现钝化现象,这使得X70钢表面出现较轻微的腐蚀现象。电化学阻抗谱(EIS)的测试结果分析表明,埋置于不同pH值污染粉土中的X70钢的Nyquist图均由高频区的容抗弧和中低频区的扩散弧组成,腐蚀过程中主要是电荷传递过程和扩散过程同时控制,即电化学极化和浓差极化同时发生,当埋置时间为7d和14d时,电荷转移电阻R_(ct)随污染粉土p H值的增加而减小,当埋置时间达到21d时,在pH为7.07的无污染粉土环境中电荷转移电阻R_(ct)最大,即腐蚀性最弱。",《太原理工大学》,"
2018年",【学位授予单位】：太原理工大学【学位级别】：硕士【学位授予年份】：2018【分类号】：X53,120,2
3,杨树青,基于Visual-MODFLOW和SWAP耦合模型干旱区微咸水灌溉的水—土环境效应预测研究,微咸水灌溉/水-土环境效应/耦合模型/预测,"淡水资源的短缺和工业用水的竞争,使农业生产对劣质水(咸水或城市污水)利用的依赖性日益增加。劣质水利用带来的环境问题成为目前研究的热点和前沿课题。其中水—土环境是灌溉农业科学中最为活跃的组成部分,是治理土壤盐渍化的核心。本研究揭示了微咸水灌溉对作物生理、土壤环境和地下水环境的影响规律。探讨干旱-半干旱地区微咸水灌溉的水-土环境效应预测评估研究。研究将对水资源日益短缺的河套灌区有着重要意义,并可为类似地区提供参考。 








研究引进了世界上公认的模拟三维地下水流和溶质运移的 Visual MODFLOW (VMOD) 模拟系统和模拟水、溶质和热在土壤—大气—作物环境中运移过程的 SWAP模型。从而将饱和带和非饱和带构成一个完整体系对微咸水灌溉的水土环境效应展开预测评估研究,全面深入地探讨和论证了微咸水开发利用的可行性。 








一般在利用 SWAP 模型预测时,存在着下边界条件难以确定的难题。本研究成功地将 VMOD 模型模拟预测的地下水位运用于 SWAP 模型的下边界。使 SWAP 模型的应用更具准确性。在研究中首次将 VMOD 与 SWAP 模型耦合,构成一个耦合体后用于对微咸水灌溉的水—土环境效应的预测模拟。 VMOD 目前多用于地下水流的模拟,对地下水质的模拟较少报道。研究尝试采用 VMOD 中的 MT3DMS 模型对地下水质进行了模拟预测并指出了其应用中的局限性。 








SWAP 是垂直一维水盐运移模型。不同的水文地质条件应具有不同的 SWAP 模型。研究运用地质统计学理论,对研究区的土壤水盐信息进行了空间结构性分析,并以此为依据对研究区进行了分区。有效地将地质统计学理论与 SWAP 模型联合应用,避免了通常仅采用一种 SWAP 模型过度简化的粗略性。 








研究中连续的田间灌溉试验、常规和专门观测、野外室内实验进行有关参数的测定和边界条件的详细论证确定,为 VMOD 和 SWAP 系统在本研究区的应用及保证预测结果的可靠性奠定了坚实的基础。 








作物耐盐度研究发现灌溉水浓度达到某一临界值时,盐分在一定深度的土层内聚集明显增大。这一临界浓度值与使作物生长、产量受到抑制的灌水浓度基本一致,且不同作物的临界灌水浓度值不同。研究还揭示了淋洗灌溉定额下作物的耐盐能力增大,由于较大定额的淋洗灌溉将盐分淋洗到深层,在排水作用下从土层中排出,使作物根区盐分降低。应用产量与灌水浓度的相关关系预测出研究区 3 种主要作物的耐盐度阈值分别为两种灌溉定额下小麦的耐盐度为 4.5g/l。正常定额下玉米在的耐盐度为3g/l,葵花为 5g/l。淋洗定额下玉米的耐盐度为 3.5g/l,葵花为 7g/l。预测值与研究发现的灌水浓度临界值基本吻合。 








平均年法和考虑时间序列法两种预测方法得出了基本接近的结果,平均年法在进",《内蒙古农业大学》,"
2005年",【学位授予单位】：内蒙古农业大学【学位级别】：博士【学位授予年份】：2005【分类号】：S273.5,2399,63
4,谢海霞,天山北坡山盆系统土壤黏土矿物特征及其对成土环境的响应,山盆系统/黏土矿物/稳定同位素/成土环境,"黏土矿物广泛存在于土壤、风化壳、陆地和海洋等各种沉积物和岩石中。风化过程是形成黏土矿物最主要的途径。黏土矿物在表生环境中受地表母岩、气候、土壤、植被、地貌、介质环境等多种因素的影响。本研究以新疆天山北坡与准噶尔盆地构成的山盆系统中黑钙土、栗钙土、棕钙土、灰漠土、沼泽土、盐土、风沙土为研究对象,利用X—射线衍射仪(XRD)和透射电镜(TEM)研究不同地形部位土壤黏土矿物组合类型和形貌特征。结合黏土矿物稳定同位素技术,伊利石结晶度等特征指数,土壤次生碳酸盐中碳氧同位素和土壤有机质碳同位素,解读干旱区山盆系统中气候和环境演变信息,分析干旱区地形序列土壤黏土矿物对成土环境的响应机制,深入揭示地形变化对山盆系统土壤黏土矿物演变的影响,为探索我国干旱区土壤黏土矿物的形成、转化,丰富土壤发生和演化理论等提供依据和参考。研究取得以下结论:1、新疆天山北坡与准噶尔盆地构成的山盆系统中,自海拔1800m到海拔270m依次分布着黑钙土——栗钙土——棕钙土——灰漠土——盐碱土——风沙土,盆地内广泛分布着不同程度的盐渍化土壤,在冲积洪积扇扇缘部零星分布着沼泽土。除沼泽土,黑钙土、栗钙土、棕钙土、灰漠土、盐土和风沙土有机质层的厚度越来越薄,有机质含量逐渐减少,同时土体内钙积层的层位越来越高,土壤盐分含量逐渐增加。2、山盆系统中主要黏土矿物有蒙脱石、伊利石、蛭石、绿泥石和高岭石。黑钙土黏土矿物以蒙脱石为主,少量蛭石、伊利石和高岭石。栗钙土和棕钙土中蒙脱石含量逐渐减少,伊利石含量增加。沼泽土地下水位高,且土壤含少量盐,pH值在7.36-8.07之间,且土壤中再次出现蛭石,因而认为沼泽土中蒙脱石和蛭石也是伊利石转化的产物。3、盆地内部灰漠土和盐土中均以伊利石为主,蒙脱石和绿泥石次之,少量高岭石,没有蛭石。同一剖面0-10cm土层蒙脱石极少甚至没有,10cm以下土体中,土壤盐分含量与蒙脱石含量存在极显著正相关关系(r=0.61,n=45,p0.01),表明盐分的存在利于蒙脱石的形成。分析认为含盐土层具备蒙脱石沉淀形成的水分条件和化学组分:(1)pH8.5,促使土壤中原生矿物Si~(4+)溶解;(2)土壤溶液中存在大量Ca~(2+)、Na~+和Mg~(2+)。4、对土壤中碳酸盐中碳(δ~(14)C)氧同位素(δ~(18)O)以及土壤有机质中碳同位素(δ~(14)C)分析表明,从黑钙土到风沙土,植被类型从C_3植物向C_4植物演替,降雨量减少,气温升高,气候逐渐干旱。5、黑钙土中伊利石结晶度值最低,表明土壤中存在明显的伊利石转化过程,而蛭石是伊利石向蒙脱石转化的中间阶段。随着降雨量降低,结晶度逐渐增加,说明栗钙土和棕钙土中伊利石的转化作用逐渐减弱。从黑钙土到灰漠土,土壤黏土矿物的氢同位素(δD)和氧同位素(δ~(18)O)值增加,表明各类土壤分布区气候逐渐干旱,土壤湿度减小,蒸发量增大。同时黏土矿物中δ~(18)O与蒙脱石含量达到极显著正相关关系(n=18,r=0.81,p0.01),也说明在研究区土壤中湿度增加利于蒙脱石形成。而黏土矿物中δ~(18)O与伊利石含量达到极显著负相关关系(n=18,r=0.76,p0.01),则表明研究区内湿度降低,利于伊利石的保存,伊利石对成土环境的湿度因素也具有非常好的响应。因而气候条件决定黑钙土和栗钙土分布区化学风化过程更强烈,而棕钙土、灰漠土和盐土的分布区气候相对干旱,风化作用弱,导致黑钙土和栗钙土的伊利石化学指数0.5,而棕钙土、灰漠土、盐土的伊利石化学指数0.5,尤其是盆地内的盐土和灰漠土伊利石化学指数0.2。综上所述,新疆天山北坡土壤黏土矿物主要有伊利石、绿泥石、蒙脱石、蛭石、高岭石。从黑钙土到风沙土分布区,气候逐渐干旱,降雨量减少,蒸发量增加,土壤淋溶作用减少,伊利石向蒙脱石、蛭石的转化越来越弱。受盐分含量影响,盆地内土壤剖面中盐分含量越高蒙脱石含量越高,表明气候条件影响山体土壤中伊利石向蒙脱石和蛭石的转化,而盆地内盐分含量影响蒙脱石的沉淀形成。受地下水的影响,沼泽土中也存在伊利石向蒙脱石的转化过程。",《华中农业大学》,"
2019年",【学位授予单位】：华中农业大学【学位级别】：博士【学位授予年份】：2019【分类号】：S153.6,94,0
5,乔頔,滨海盐渍土环境中结构物耐久性分析与对策,滨海盐渍土/钢筋混凝土/氯离子侵入/模型,"滨海盐渍土含有高含量氯离子,对埋设其中的钢筋混凝土结构构成严重的腐蚀威胁。分析滨海盐渍土对结构物的腐蚀影响,建立氯离子侵入混凝土模型,分析结构物暴露在盐渍土环境下的寿命,是辅助设计混凝土保护层的重要手段。本文以连云港盐渍土为代表,采用数值模拟研究影响侵入氯离子在混凝土孔隙溶液中运移过程的各种因素,并评估防腐蚀措施在提高结构物寿命的效用。本研究的主要成果如下:

	(1)通过实验分析了滨海盐渍土含盐特性,包括盐分类型和盐分含量分布,指出连云港盐渍土为弱—中等氯盐渍土。氯离子含量在距离地表以下2m土层内较高,且随着土层深度增加呈抛物或线性减小。

	(2)基于氯离子在混凝土孔隙溶液中的扩散、电迁移及毛细吸附过程建立盐渍土环境下氯离子侵入混凝土模型。模型的计算结果很好地吻合了现场混凝土样中氯离子浓度分布,可以用来分析暴露在滨海盐渍土环境中结构物耐久性。采用有限元方法等分析了结合作用、扩散电场以及毛细作用对氯离子运移过程的影响。分析表明结合作用减小了孔隙溶液中氯离子浓度;多重离子运移产生的扩散电场作用为盐渍土环境区别于其它盐环境的特点,加速了氯离子侵入过程,导致盐渍土对结构物耐久性的影响大于海水;混凝土孔隙初始非饱和状态带来的毛细作用造成侵入氯离子在混凝土表层累积,在前期影响混凝土表层的氯离子浓度分布,后期对混凝土深层氯离子含量产生影响,最终增大了钢筋表面的氯离子浓度。

	(3)考虑盐渍土环境季节性变化特征,分析了温度与盐分季节性变化对混凝土中氯离子含量分布的影响,指出相比恒常温状态温度季节性变化使得混凝土中自由氯离子浓度变小;周年内滨海盐渍土中盐分呈三角函数型周期变化,造成侵入氯离子在混凝土表层15mm范围内的分布出现周期性变化,轮流出现台阶和波峰,但对混凝土深层的氯离子含量影响较小。

	(4)结合连云港盐渍土环境,分析了不同防腐蚀措施包括保护层厚度、表面涂层、添加炉渣等对提高结构物寿命的效用,指出增加保护层厚度能有效增加结构物耐久性,每提高10mm,结构物寿命成倍的增长;添加辅助凝胶材料将增强混凝土的结合能力,且偏高岭土高炉渣粉煤灰,但硅灰会大幅度损害混凝土的结合能力;表面涂层有效减缓了氯离子侵入过程,且硅酸体系涂层环氧树脂体系涂层丙烯酸体系涂层。建议连云港盐渍土环境下混凝土保护层厚度应不小于50mm。",《上海交通大学》,"
2012年",【学位授予单位】：上海交通大学【学位级别】：硕士【学位授予年份】：2012【分类号】：TU375;TU528;TU448,355,10
6,张艳,垃圾土环境中深基坑工程开挖难点与措施研究,垃圾土/工程性质/土压力/塌孔,"青岛北客站工程选址为老填海垃圾填埋场，对老垃圾填埋场占地重新利用、进行地下工程建设，在国内尚属首例，国际上也不多见。其地下基坑开挖部分地层环境包括2~3m的建筑垃圾和5~12m的生活垃圾，实践证明在垃圾土环境中进行地下工程建设存在诸多的问题。本文在总结了垃圾土地层中基坑设计与开挖阶段特点的基础上，分析问题存在的原因，并提出了相关解决措施，主要研究内容包括以下四个部分：

	（1）填埋场垃圾土物理力学性质试验：借鉴国内外研究垃圾土物理力学性质的试验方法，采用试验手段测试该填埋场4m、8m、12m垃圾土层物理力学性质，并结合现场实测数据，给出该填埋场中垃圾土的抗剪强度指标建议值；

	（2）垃圾土钻孔灌注桩成桩塌孔扩径原因分析与解决措施：在垃圾土物理力学性质试验的基础上，采用数值模型试验的方法，对钻孔灌注桩塌孔问题成因进行了讨论，同时，结合现场的资料调查和整理，总结了造成垃圾土孔壁塌孔的主要原因，并提出了合理的施工措施；

	（3）垃圾土地层土压力时空变化特点研究：结合现场土压力实测数据，分析了垃圾土土压力时空变化，即垃圾土环境中基坑开挖支护过程中的围护结构的受力变化，同时，结合工程中三种围护结构形式，分析了在垃圾土层开挖过程中作用在三种不同围护结构上的土压力分布特点，并探讨了垃圾土的开挖特性；

	（4）基于实测数据的垃圾土中围护结构受力变形特点和垃圾土开挖特性研究：结合现场变形与应力实测数据，从围护结构变形、支撑轴力、地表变形规律入手，分析垃圾土中围护结构变形特点与土体变形特点，并比较了三种围护结构条件下的实测数据。并结合数值分析软件，对柔性支撑体系、双排桩两种不同支护形式下的垃圾土层开挖过程中的变形进行了数值计算分析，重点研究垃圾土层开挖过程中的基坑变形，给出了合理计算模型及垃圾土开挖参数；

	随着经济的发展，用地日益紧张，老垃圾填埋场改建工程势必会越来越多的出现，同时，为更合理利用空间，地下工程建设更是如火如荼的发展，本文以工程实测为研究依托，研究了垃圾填埋场中深基坑工程建设中存在的问题与难点，为今后类似垃圾填埋场的岩土工程建设提供参考。",《中国海洋大学》,"
2013年",【学位授予单位】：中国海洋大学【学位级别】：硕士【学位授予年份】：2013【分类号】：TU753,216,1
7,王飞,季冻区盐渍土环境作用对道路水稳层破坏效应的试验研究,水稳层/硫酸盐/干湿循环/冻融循环,"新疆南疆气候属典型的内陆极端干旱荒漠气候类型,气候干燥、地下水矿化度高、昼夜温差大,强烈的毛细作用使地表土体盐分的迁移积聚与水盐干湿循环作用显著,季节性冻融循环作用使得道路工程路基路面结构变形破坏严重。正是这种特殊的气候及水文地质环境,使得水盐干湿循环作用、冻融循环作用这两种环境作用是南疆道路工程路基路面结构发生变形破坏的环境作用之所在。据此,本文主要开展了南疆季冻区盐渍土环境水盐干湿循环作用、冻融循环作用下道路结构水稳层变形破坏效应的试验研究。室内人工模拟南疆阿拉尔区域盐渍土环境城市道路路基结构层所处的水-盐-温环境,制作路基结构层模型试样,研究水盐干湿循环作用、冻融循环作用单一的环境作用及多种环境作用共同作用下的路基水稳层破坏效应。本文开展的研究工作获得以下主要研究结论:(1)通过前期对南疆阿拉尔市初建城市道路开展病害调查研究发现:设有水泥土稳定基层的沥青混凝土道路,在有外部水盐入渗的道路路基两侧的路肩部位对应的沥青混凝土路面最先发生膨胀变形至开裂破坏,路面破坏程度沿横向由路肩向中线依次减弱,路面整体变形破坏程度随路基水盐入渗积聚量的增大而呈正相关。路面整体的变形破坏是盐渍土路基在水-盐-温耦合作用下水盐干湿循环作用、盐胀-冻胀冻融循环作用共同作用所致。(2)硫酸盐干湿循环作用会促进盐分在水稳层中聚集,并对水稳层进行侵蚀,但对水稳层的力学特性影响不大;硫酸盐冻融循环作用对水稳层力学特性的影响较大,会降低水稳层的耐久性,其中水盐干湿循环作用会加速水稳层的变形效果。(3)水稳层试样干湿-冻融循环试验的竖向变形效应研究显示:行车荷载作用对水稳层竖向变形有一定的压制作用,但荷载作用周界应力有效作用区域的水稳层竖向变形量增大。(4)试验研究结果与工程实践表明:在新疆南疆季节性冻土及盐渍土环境区域的道路工程中,路基结构中设置水泥土稳定基层不适应其特殊的气候环境与工程地质环境,不适用于该区域道路工程新型“疏水控盐”-“侧隔下疏”型防水盐侵蚀-盐胀-冻胀灾害的路基结构。",《塔里木大学》,"
2018年",【学位授予单位】：塔里木大学【学位级别】：硕士【学位授予年份】：2018【分类号】：U416.2,231,1
8,赵建军,盐渍土环境下RC桥墩柱抗震性能研究,盐渍土/RC桥墩柱/轴压比/锈蚀率,"盐渍土环境的主要特点为含有多种类、高浓度的腐蚀性离子。与海洋环境相比,盐渍土环境中含有的氯离子浓度明显较高,氯离子的存在会严重影响钢筋的承载力和变形性能,从而影响结构或构件的抗震性能。桥梁作为交通运输的重要枢纽,而桥墩柱作为桥梁的主要支撑构件,对其抗震性能的研究至关重要。因此,本文主要对盐渍土环境下钢筋混凝土(RC)桥墩柱的抗震性能进行了研究。为了研究盐渍土环境下RC桥墩柱的抗震性能,共设计制作了10根RC桥墩柱,按照盐渍土环境特点,在实验室配置了标准腐蚀溶液,将溶液倒入环形塑料桶中,对试件塑性铰区域进行了通电快速锈蚀试验。待试件锈蚀完毕,对试件进行了低周反复加载试验。锈蚀率和轴压比为主要影响因素,轴压比包括0.12和0.36两种。在加载过程中,实时记录了试件的荷载-位移变化曲线,并对比分析了不同锈蚀率、不同轴压比桥墩柱的抗震性能。通过理论推导,建立了盐渍土环境下RC桥墩柱恢复力计算模型。具体包括以下几方面工作:(1)对所研究试件进行电化学快速锈蚀试验后,对其进行了低周反复加载试验,实时观察和记录了试件的整个破坏过程,并得出了试件的位移-荷载曲线。(2)试件加载完毕,对试件塑性铰区域钢筋进行了取样、除锈、称重,测得了钢筋的实际锈蚀率。(3)对比分析了试件的破坏形态,结果表明:轴压比一定时,锈蚀率越大,试件的破坏程度越严重;锈蚀率一定时,在一定范围内,轴压比越大,试件的破坏程度越明显。除此之外,通过对试件骨架曲线及滞回曲线进行对比分析,发现锈蚀会严重影响试件的变形能力及承载力,而轴压比会严重影响试件的抗震极限位移。(4)将试件骨架曲线简化为三折线模型,对关键点(抗震屈服点、抗震峰值点、抗震失效点)位移及荷载进行了理论推导计算。在此基础上,对每级控制位移下的加载曲线和卸载曲线进行回归分析,得出了恢复力模型的理论计算结果。(5)通过将试验结果与理论结果进行比较,发现其吻合度较高,可为盐渍土环境下RC桥墩柱抗震设计提供参考依据。",《内蒙古工业大学》,"
2019年",【学位授予单位】：内蒙古工业大学【学位级别】：硕士【学位授予年份】：2019【分类号】：U442.55,66,0
9,夏帆/魏光涛/莫继华/李志业/李仲民/蔡舒雅/张琳叶,无机改性膨润土环境功能材料控制水污染的研究进展,膨润土/无机改性/环境功能材料/水污染,"无机改性膨润土制备环境功能材料的方法主要有无机盐改性、无机柱撑。介绍了无机盐改性膨润土、无机柱撑膨润土环境功能材料的水污染控制作用原理,并详细综述了两种无机改性膨润土环境功能材料在水污染控制中的研究新进展,提出了无机改性膨润土作为环境功能材料应用于水污染控制需进一步研究的问题。",《材料导报》,nan,"【作者单位】：
                广西大学化学化工学院;广西大学广西石化资源加工及过程强化技术重点实验室;广西大学广西有色金属及特色材料加工重点实验室;  【基金】：教育部高等学校博士学科点专项科研基金(20114501120001)  
广西自然科学基金(2013GXNSFAA019296;2011GXNSFB018017)  
广西高等学校科研项目(桂教科研201203YB005)  
广西大学广西有色金属及特色材料加工重点实验室开放基金(GXKFJ12-22)  【分类号】：X703.5",573,13
